date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-07-26,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-27,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-28,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-29,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-30,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-07-31,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-08-01,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-08-02,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-08-03,197.0,,13320.0,16250.0,10980.0,10830.0,10730.0,,16420.0,17120.0,17270.0,215.0,11930.0
2017-08-04,197.0,,13790.0,16820.0,11240.0,11090.0,10990.0,,17020.0,17720.0,17920.0,215.0,12390.0
2017-08-05,197.0,,13790.0,16820.0,11240.0,11090.0,10990.0,,17020.0,17720.0,17920.0,215.0,12390.0
2017-08-06,197.0,,13790.0,16820.0,11240.0,11090.0,10990.0,,17020.0,17720.0,17920.0,215.0,12390.0
2017-08-07,197.0,,13790.0,16820.0,11240.0,11090.0,10990.0,,17020.0,17720.0,17920.0,215.0,12390.0
